date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2018-01-09,178440,7930,1235,1210,132,0.292,75041
2018-01-10,196069,8409,1191,1271,136,0.311,79420
2018-01-11,199107,9870,1517,1256,113,0.631,84450
2018-01-12,191476,8878,1452,1232,180,0.314,89479
2018-01-13,120849,6682,1051,974,120,0.205,67941
2018-01-14,104148,7596,933,788,88,0.928,82959
2018-01-15,157763,10402,1330,1398,196,0.568,98250
2018-01-16,192957,10047,1357,1361,150,0.559,90214
2018-01-17,201860,9583,1303,1382,132,0.4,84979
2018-01-18,200630,9741,1428,1468,165,0.384,88073
2018-01-19,198624,8994,1303,1549,137,0.178,82076
2018-01-20,130655,7395,1162,1328,148,-0.164,66052
2018-01-21,118569,6570,1040,1021,198,0.032,60819
2018-01-22,182587,9730,1471,1440,240,0.424,84477
2018-01-23,199894,10280,1646,1263,273,0.539,94531
2018-01-24,207690,9447,1583,1575,373,-0.005,84974
2018-01-25,208037,10674,1945,1792,462,-0.152,103810
2018-01-26,190703,7664,1050,1008,167,0.536,70092
2018-01-27,125998,6670,964,1122,157,0.065,66287
2018-01-28,111180,5600,879,815,108,0.232,52867
2018-01-29,167705,6797,1150,908,126,0.302,73309
2018-01-30,192625,7723,1227,1041,152,0.37,75610
2018-01-31,200943,7965,1252,1062,106,0.478,70314
2018-02-01,198967,7078,1071,823,83,0.756,74438
2018-02-02,194100,7164,1156,1116,159,0.187,72825
2018-02-03,121916,6935,1156,1253,184,-0.149,63011
2018-02-04,103250,6189,898,1004,103,0.197,56359
2018-02-05,172387,8727,1442,1205,176,0.333,78624
2018-02-06,195451,8808,1429,1481,186,0.09,90301
2018-02-07,197532,9112,1618,1098,173,0.516,89901
2018-02-08,196766,8839,1445,1124,177,0.487,88294
2018-02-09,188706,9267,1414,1216,178,0.519,87193
2018-02-10,134515,7688,1104,1062,113,0.331,79592
2018-02-11,112227,6349,813,850,85,0.59,70994
2018-02-12,180483,8826,1398,1357,171,0.223,82774
2018-02-13,199424,8549,1423,1253,112,0.286,78197
2018-02-14,204859,8819,1351,1347,149,0.301,81553
2018-02-15,201352,10085,1774,1283,219,0.367,94459
2018-02-16,196183,9735,1582,1004,205,0.675,95101
2018-02-17,129847,8843,1268,1020,138,0.758,83429
2018-02-18,109415,6842,921,886,136,0.619,62428
2018-02-19,162497,10256,1434,1243,167,0.797,91409
2018-02-20,199615,11213,1701,1349,154,0.667,124601
2018-02-21,208986,11400,1654,1197,146,0.793,111777
2018-02-22,207430,11026,1819,1478,176,0.357,99205
2018-02-23,199448,10431,1584,1460,166,0.415,104699
2018-02-24,131870,7376,1336,967,128,0.267,66772
2018-02-25,111294,5937,806,854,81,0.288,57215
2018-02-26,173936,8031,1224,880,162,0.642,80732
2018-02-27,192802,8898,1331,1145,164,0.43,90307
2018-02-28,212039,8943,1182,1216,118,0.704,81651
2018-03-01,212538,8710,1233,1039,146,0.765,78042
2018-03-02,197188,5872,904,853,97,0.242,57947
2018-03-03,126497,6945,1015,786,100,0.622,66329
