date,placebo_cricket,placebo_entertainment
2023-08-20,0.0206,0.119
2023-08-21,0.0189,0.1773
2023-08-22,0.0143,0.1243
2023-08-23,0.0136,0.152
2023-08-24,0.0144,0.1307
2023-08-25,0.0134,0.1468
2023-08-26,0.0237,0.1864
2023-08-27,0.0246,0.1795
2023-08-28,0.0124,0.1751
2023-08-29,0.0118,0.1572
2023-08-30,0.0192,0.1341
2023-08-31,0.0278,0.1317
2023-09-01,0.0347,0.1366
2023-09-02,0.0377,0.238
2023-09-03,0.0449,0.1839
2023-09-04,0.0287,0.1648
2023-09-05,0.0311,0.1394
2023-09-06,0.0146,0.1592
2023-09-07,0.0173,0.1523
2023-09-08,0.0154,0.1969
2023-09-09,0.03,0.2156
2023-09-10,0.034,0.2914
2023-09-11,0.0157,0.1746
2023-09-12,0.0195,0.1631
2023-09-13,0.0111,0.144
2023-09-14,0.01,0.1313
2023-09-15,0.0181,0.1581
2023-09-16,0.038,0.2528
2023-09-17,0.0367,0.225
2023-09-18,0.0171,0.1673
2023-09-19,0.0131,0.1635
2023-09-20,0.0184,0.1202
2023-09-21,0.0199,0.1397
2023-09-22,0.014,0.1218
2023-09-23,0.0256,0.1931
2023-09-24,0.0413,0.1834
2023-09-25,0.0381,0.1516
2023-09-26,0.0411,0.1728
2023-09-27,0.0401,0.1333
2023-09-28,0.0275,0.1166
2023-09-29,0.0231,0.1221
2023-09-30,0.0295,0.2324
2023-10-01,0.0192,0.1925
2023-10-02,0.0162,0.1483
2023-10-03,0.0193,0.1383
2023-10-04,0.0209,0.1553
2023-10-05,0.03,0.1377
2023-10-06,0.0445,0.1629
2023-10-07,0.0483,0.224
2023-10-08,0.0533,0.1752
2023-10-09,0.0242,0.1125
2023-10-10,0.0197,0.1137
2023-10-11,0.0268,0.1256
2023-10-12,0.0396,0.127
2023-10-13,0.0293,0.175
2023-10-14,0.0928,0.1857
2023-10-15,0.0598,0.1921
2023-10-16,0.0256,0.1544
2023-10-17,0.0288,0.1676
2023-10-18,0.0224,0.1513
2023-10-19,0.0272,0.157
2023-10-20,0.0228,0.163
2023-10-21,0.0201,0.2349
2023-10-22,0.0294,0.2977
2023-10-23,0.0612,0.2185
2023-10-24,0.0225,0.1024
2023-10-25,0.0167,0.1381
2023-10-26,0.0264,0.1178
2023-10-27,0.0194,0.1461
2023-10-28,0.0267,0.175
2023-10-29,0.0235,0.2289
2023-10-30,0.0354,0.1031
2023-10-31,0.026,0.1152
2023-11-01,0.0203,0.1144
2023-11-02,0.0276,0.157
2023-11-03,0.0203,0.1339
2023-11-04,0.0376,0.2118
2023-11-05,0.0604,0.2289
2023-11-06,0.0231,0.1321
2023-11-07,0.0164,0.1545
2023-11-08,0.012,0.0967
2023-11-09,0.0244,0.1075
2023-11-10,0.0189,0.1224
2023-11-11,0.0156,0.1565
2023-11-12,0.0505,0.1086
2023-11-13,0.0142,0.0997
2023-11-14,0.0231,0.117
2023-11-15,0.0348,0.1372
2023-11-16,0.0286,0.0973
2023-11-17,0.0305,0.1058
2023-11-18,0.069,0.1746
2023-11-19,0.1137,0.2154
2023-11-20,0.1045,0.1701
2023-11-21,0.0503,0.1484
2023-11-22,0.0176,0.1267
2023-11-23,0.0464,0.1451
2023-11-24,0.0138,0.1664
2023-11-25,0.0254,0.2531
2023-11-26,0.0488,0.2069
2023-11-27,0.0213,0.0834
2023-11-28,0.0219,0.0752
2023-11-29,0.0456,0.0804
2023-11-30,0.0288,0.054
2023-12-01,0.0205,0.0649
2023-12-02,0.0215,0.0729
2023-12-03,0.0381,0.0763
2023-12-04,0.0293,0.0936
2023-12-05,0.0467,0.0769
2023-12-06,0.0349,0.0817
2023-12-07,0.0234,0.0585
2023-12-08,0.0139,0.0738
2023-12-09,0.0334,0.0993
2023-12-10,0.0251,0.0666
2023-12-11,0.024,0.06
2023-12-12,0.0251,0.0433
2023-12-13,0.0292,0.0416
2023-12-14,0.0149,0.0473
2023-12-15,0.0339,0.0442
2023-12-16,0.0492,0.059
2023-12-17,0.0139,0.0587
2023-12-18,0.0333,0.063
2023-12-19,0.0509,0.057
2023-12-20,0.0336,0.052
2023-12-21,0.0116,0.0625
2023-12-22,0.0163,0.0653
2023-12-23,0.0172,0.0939
2023-12-24,0.0268,0.0813
2023-12-25,0.031,0.0886
2023-12-26,0.0268,0.0828
2023-12-27,0.0149,0.0722
2023-12-28,0.0285,0.0766
2023-12-29,0.0222,0.0686
2023-12-30,0.0188,0.136
2023-12-31,0.0478,0.1219
2024-01-01,0.0381,0.1065
2024-01-02,0.0809,0.0853
2024-01-03,0.0307,0.0421
2024-01-04,0.0384,0.0413
2024-01-05,0.0406,0.06
2024-01-06,0.0261,0.0558
2024-01-07,0.0193,0.083
2024-01-08,0.0192,0.0783
2024-01-09,0.0209,0.0671
2024-01-10,0.0223,0.0518
2024-01-11,0.0143,0.0583
2024-01-12,0.0157,0.0568
2024-01-13,0.015,0.0796
2024-01-14,0.0143,0.0635
2024-01-15,0.0137,0.0655
2024-01-16,0.0065,0.0624
2024-01-17,0.0117,0.0538
2024-01-18,0.0178,0.0567
2024-01-19,0.0108,0.0596
2024-01-20,0.0247,0.0605
2024-01-21,0.0245,0.0573
2024-01-22,0.0177,0.1251
2024-01-23,0.0117,0.0451
2024-01-24,0.0188,0.0684
2024-01-25,0.0117,0.0541
2024-01-26,0.0096,0.0716
2024-01-27,0.0203,0.0505
2024-01-28,0.0205,0.0503
2024-01-29,0.0145,0.0436
2024-01-30,0.0072,0.0547
2024-01-31,0.0085,0.0486
